[WARNING] [2025-04-22 09:35:09,056] Error loading C:\Users\raman\OneDrive\Documents\GitHub\color_picker_model\shapes_jsons\neural_network_visualization.json: Expecting value: line 1 column 1 (char 0)
[INFO] [2025-04-22 09:35:39,655] Epoch 137/200 - Loss: 0.0024
[INFO] [2025-04-22 09:35:39,701] Epoch 138/200 - Loss: 0.0024
[INFO] [2025-04-22 09:35:39,746] Epoch 139/200 - Loss: 0.0024
[INFO] [2025-04-22 09:35:39,792] Epoch 140/200 - Loss: 0.0023
[INFO] [2025-04-22 09:35:39,839] Epoch 141/200 - Loss: 0.0023
[INFO] [2025-04-22 09:35:39,886] Epoch 142/200 - Loss: 0.0023
[INFO] [2025-04-22 09:35:39,929] Epoch 143/200 - Loss: 0.0023
[INFO] [2025-04-22 09:35:39,978] Epoch 144/200 - Loss: 0.0023
[INFO] [2025-04-22 09:35:40,032] Epoch 145/200 - Loss: 0.0023
[INFO] [2025-04-22 09:35:40,080] Epoch 146/200 - Loss: 0.0023
[INFO] [2025-04-22 09:35:40,136] Epoch 147/200 - Loss: 0.0023
[INFO] [2025-04-22 09:35:40,184] Epoch 148/200 - Loss: 0.0023
[INFO] [2025-04-22 09:35:40,235] Epoch 149/200 - Loss: 0.0023
[INFO] [2025-04-22 09:35:40,277] Epoch 150/200 - Loss: 0.0023
[INFO] [2025-04-22 09:35:40,328] Epoch 151/200 - Loss: 0.0023
[INFO] [2025-04-22 09:35:40,374] Epoch 152/200 - Loss: 0.0023
[INFO] [2025-04-22 09:35:40,427] Epoch 153/200 - Loss: 0.0023
[INFO] [2025-04-22 09:35:40,476] Epoch 154/200 - Loss: 0.0023
[INFO] [2025-04-22 09:35:40,526] Epoch 155/200 - Loss: 0.0023
[INFO] [2025-04-22 09:35:40,573] Epoch 156/200 - Loss: 0.0026
[INFO] [2025-04-22 09:35:40,620] Epoch 157/200 - Loss: 0.0025
[INFO] [2025-04-22 09:35:40,675] Epoch 158/200 - Loss: 0.0026
[INFO] [2025-04-22 09:35:40,715] Epoch 159/200 - Loss: 0.0024
[INFO] [2025-04-22 09:35:40,770] Epoch 160/200 - Loss: 0.0022
[INFO] [2025-04-22 09:35:40,818] Epoch 161/200 - Loss: 0.0021
[INFO] [2025-04-22 09:35:40,861] Epoch 162/200 - Loss: 0.0021
[INFO] [2025-04-22 09:35:40,905] Epoch 163/200 - Loss: 0.0022
[INFO] [2025-04-22 09:35:40,960] Epoch 164/200 - Loss: 0.0020
[INFO] [2025-04-22 09:35:41,014] Epoch 165/200 - Loss: 0.0019
[INFO] [2025-04-22 09:35:41,070] Epoch 166/200 - Loss: 0.0019
[INFO] [2025-04-22 09:35:41,128] Epoch 167/200 - Loss: 0.0018
[INFO] [2025-04-22 09:35:41,181] Epoch 168/200 - Loss: 0.0019
[INFO] [2025-04-22 09:35:41,232] Epoch 169/200 - Loss: 0.0018
[INFO] [2025-04-22 09:35:41,267] Epoch 170/200 - Loss: 0.0019
[INFO] [2025-04-22 09:35:41,312] Epoch 171/200 - Loss: 0.0018
[INFO] [2025-04-22 09:35:41,355] Epoch 172/200 - Loss: 0.0018
[INFO] [2025-04-22 09:35:41,405] Epoch 173/200 - Loss: 0.0017
[INFO] [2025-04-22 09:35:41,454] Epoch 174/200 - Loss: 0.0016
[INFO] [2025-04-22 09:35:41,502] Epoch 175/200 - Loss: 0.0015
[INFO] [2025-04-22 09:35:41,551] Epoch 176/200 - Loss: 0.0015
[INFO] [2025-04-22 09:35:41,585] Epoch 177/200 - Loss: 0.0015
[INFO] [2025-04-22 09:35:41,632] Epoch 178/200 - Loss: 0.0015
[INFO] [2025-04-22 09:35:41,669] Epoch 179/200 - Loss: 0.0014
[INFO] [2025-04-22 09:35:41,802] Epoch 180/200 - Loss: 0.0013
[INFO] [2025-04-22 09:35:41,845] Epoch 181/200 - Loss: 0.0015
[INFO] [2025-04-22 09:35:41,890] Epoch 182/200 - Loss: 0.0014
[INFO] [2025-04-22 09:35:41,928] Epoch 183/200 - Loss: 0.0013
[INFO] [2025-04-22 09:35:41,967] Epoch 184/200 - Loss: 0.0013
